,user,text,favorite_count,retweet_count,created_at
129,AzriWalter,"Usah tertekan mengubah manusia, gunakan tenaga yang ada untuk Push diri sendiri mencari ahli pasukan yang berkualiti.",2,1,2022-03-30 08:21:54+00:00
130,AzriWalter,"Mereka yang pergi perumpaan nya seperti seorang pelanggan yang tak mahu beli. Itu sahaja.

Each no, bring yes.",1,0,2022-03-30 08:21:33+00:00
131,AzriWalter,"Sifirnya mudah, Usah membenci, mereka juga saudara kita. Doakan baik baik, setiap doa baik akan kembali kepada kita.",1,0,2022-03-30 08:21:07+00:00
132,AzriWalter,"Apabila mereka rasa mahu pergi, mereka akan pergi. Apabil tiba masa kita perlu keluarkan mereka dari pasukan, kita mesti keluarkan.",0,0,2022-03-30 08:20:38+00:00
133,AzriWalter,"Mereka yang ada di hari pertama, belum tentu akan ada bersama di akhir perjuangan.",1,1,2022-03-30 08:20:04+00:00
134,AzriWalter,"Gitulah hukum alam dan fitrah, membina pasukan. Usah simpan dalam hati.",1,0,2022-03-30 08:19:48+00:00
135,AzriWalter,"Untuk bina 1000 orang, kena belajar lepaskan ratusan orang,",0,0,2022-03-30 08:19:29+00:00
136,AzriWalter,Second Half baru je mula guys. Henyak! https://t.co/3KOar55NaZ,0,0,2022-03-29 06:07:28+00:00
137,AzriWalter,@MAriffIsa Isbah,1,0,2022-03-28 06:02:27+00:00
138,AzriWalter,Henyak sampai lunyai guys! https://t.co/3AUFrUkr6C,1,1,2022-03-28 05:18:23+00:00
139,AzriWalter,Kenapa Azri Walter tak pernah burn out? https://t.co/cBDoNhO5me,0,0,2022-03-26 12:28:16+00:00
140,AzriWalter,Handling Rejection https://t.co/ZWIhKLCZ6i,0,1,2022-03-24 09:51:34+00:00
141,AzriWalter,Whatever you do always be a good one. https://t.co/fNgeDlygts,0,0,2022-03-21 12:02:17+00:00
142,AzriWalter,"RM10, 000 KWSP https://t.co/QXICJIYozl",0,0,2022-03-20 13:48:03+00:00
143,AzriWalter,Choose your circle wisely. https://t.co/jTD2TbFUhn,1,1,2022-03-19 12:58:17+00:00
144,AzriWalter,Untuk anak- anak jantan. https://t.co/sxTqeEuKEx,0,0,2022-03-14 02:42:37+00:00
145,AzriWalter,The breadwinner https://t.co/THeRryP6Pl,0,1,2022-03-11 14:37:53+00:00
146,AzriWalter,Focus on the process. https://t.co/H6cS1y9kiM,1,1,2022-03-09 14:42:51+00:00
147,AzriWalter,"Don’t lose hope, we never know what tomorrow will bring.",1,0,2022-03-08 13:43:02+00:00
148,AzriWalter,@_abbassaje Isbah,1,0,2022-03-08 13:40:50+00:00
149,AzriWalter,Hidup atas Pandangan Orang Lain? https://t.co/l9tNbKhczt,0,0,2022-03-06 10:54:25+00:00
